index,id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,day_of_trip,pickup_zip,pickup_borough,dropoff_zip,dropoff_borough
91,id1476107,1,5/22/16 15:41,5/22/16 15:48,1,-73.9668808,40.78868103,-73.96282196,40.77572632,Sunday,10025,Manhattan,10075,Manhattan
92,id0673727,2,5/18/16 19:15,5/18/16 19:44,1,-73.96167755,40.77596664,-73.85739136,40.733284,Wednesday,10075,Manhattan,11374,Queens
94,id3770790,1,2/13/16 13:12,2/13/16 13:19,1,-73.99223328,40.74428177,-74.00823212,40.74882507,Saturday,10010,Manhattan,10011,Manhattan
95,id3025098,2,1/20/16 19:21,1/20/16 19:31,1,-73.97698212,40.75030136,-73.99912262,40.73950958,Wednesday,10017,Manhattan,10011,Manhattan
96,id3333094,2,6/2/16 23:34,6/2/16 23:41,1,-73.97346497,40.75522995,-73.97736359,40.74282074,Thursday,10017,Manhattan,10016,Manhattan
97,id2228940,1,2/4/16 13:22,2/4/16 13:40,1,-73.98186493,40.7587738,-73.97022247,40.78414154,Thursday,10036,Manhattan,10024,Manhattan
99,id0010677,1,4/29/16 10:40,4/29/16 10:53,2,-73.99197388,40.74999619,-73.97788239,40.75489426,Friday,10001,Manhattan,10017,Manhattan
100,id3194108,1,6/1/16 11:48,6/1/16 12:19,1,-74.00502777,40.74645233,-73.97200775,40.74578094,Wednesday,10011,Manhattan,10016,Manhattan
101,id2063827,1,5/18/16 21:09,5/18/16 21:18,1,-73.98141479,40.75673294,-73.9705658,40.75569534,Wednesday,10036,Manhattan,10022,Manhattan
103,id3502065,1,3/15/16 21:03,3/15/16 21:14,1,-73.97401428,40.75715256,-73.94973755,40.77709198,Tuesday,10022,Manhattan,10028,Manhattan
105,id3236276,2,1/27/16 8:07,1/27/16 8:24,1,-73.95603943,40.76760864,-73.96820068,40.78668976,Wednesday,10021,Manhattan,10024,Manhattan
106,id3277902,1,4/9/16 15:04,4/9/16 15:11,1,-73.97316742,40.75569916,-73.98865509,40.7369957,Saturday,10017,Manhattan,10003,Manhattan
107,id2335059,1,5/27/16 11:10,5/27/16 11:26,4,-73.97580719,40.76062775,-73.98778534,40.75492096,Friday,10022,Manhattan,10018,Manhattan
108,id2300865,1,5/10/16 10:31,5/10/16 10:35,1,-73.96588135,40.76284027,-73.96099091,40.77087402,Tuesday,10065,Manhattan,10021,Manhattan
109,id3962434,2,1/10/16 8:45,1/10/16 8:51,2,-73.98927307,40.7564888,-74.00279999,40.76050186,Sunday,10036,Manhattan,10018,Manhattan
110,id2677672,1,2/18/16 17:47,2/18/16 17:54,2,-73.945755,40.77368164,-73.95343018,40.78107834,Thursday,10028,Manhattan,10128,Manhattan
112,id0970832,1,3/12/16 20:39,3/12/16 21:05,1,-74.00824738,40.7473526,-73.97944641,40.71875,Saturday,10011,Manhattan,10002,Manhattan
113,id0694434,1,1/26/16 23:40,1/26/16 23:48,1,-74.00679779,40.70607376,-73.97402191,40.74407578,Tuesday,10005,Manhattan,10016,Manhattan
114,id3729136,2,1/30/16 15:15,1/30/16 15:30,2,-73.97727203,40.75735092,-74.00243378,40.7344017,Saturday,10017,Manhattan,10014,Manhattan
116,id0935429,1,5/2/16 6:58,5/2/16 7:08,1,-73.9990921,40.74549103,-73.9785614,40.76232529,Monday,10011,Manhattan,10019,Manhattan
117,id3056417,2,4/11/16 14:18,4/11/16 14:34,1,-73.98435974,40.74271011,-73.98774719,40.75188828,Monday,10016,Manhattan,10018,Manhattan
118,id1152886,2,1/21/16 14:34,1/21/16 14:44,1,-73.96167755,40.7711792,-73.95211029,40.78435898,Thursday,10021,Manhattan,10128,Manhattan
119,id1796723,1,2/9/16 15:54,2/9/16 16:04,1,-73.99385834,40.73579788,-73.99462128,40.75046158,Tuesday,10011,Manhattan,10001,Manhattan
120,id0045014,1,4/20/16 20:29,4/20/16 20:39,1,-73.95012665,40.78008652,-73.96282959,40.76268387,Wednesday,10128,Manhattan,10065,Manhattan
121,id2648478,1,1/18/16 11:13,1/18/16 11:18,1,-73.95157623,40.76646805,-73.96021271,40.76054001,Monday,10021,Manhattan,10065,Manhattan
122,id0702030,1,1/7/16 23:24,1/7/16 23:26,1,-73.9992981,40.74953461,-74.00536346,40.74351883,Thursday,10001,Manhattan,10011,Manhattan
123,id3024438,2,6/10/16 22:24,6/10/16 22:41,1,-73.95372009,40.77529526,-73.99119568,40.72631836,Friday,10028,Manhattan,10003,Manhattan
124,id2146569,2,6/23/16 22:17,6/23/16 22:21,1,-73.97679901,40.74995041,-73.98156738,40.7457695,Thursday,10016,Manhattan,10016,Manhattan
125,id2307151,1,2/7/16 18:08,2/7/16 18:15,1,-73.96195221,40.80044556,-73.97841644,40.78279114,Sunday,10025,Manhattan,10024,Manhattan
126,id2049424,2,3/2/16 20:15,3/2/16 20:37,1,-73.96389008,40.77365112,-74.00511169,40.75149155,Wednesday,10021,Manhattan,10001,Manhattan
127,id2209089,1,2/24/16 22:56,2/24/16 23:03,1,-74.00691223,40.73036194,-74.0059433,40.72706985,Wednesday,10014,Manhattan,10014,Manhattan
128,id0391524,1,4/6/16 12:14,4/6/16 12:33,1,-73.97864532,40.74803543,-73.97013092,40.76273727,Wednesday,10016,Manhattan,10022,Manhattan
129,id2681033,1,6/17/16 10:01,6/17/16 10:16,1,-73.97682953,40.78821182,-73.98374939,40.76253128,Friday,10024,Manhattan,10019,Manhattan
130,id2040275,1,6/16/16 20:31,6/16/16 20:36,1,-73.93694305,40.79823303,-73.94638062,40.78088379,Thursday,10035,Manhattan,10128,Manhattan
131,id0073842,2,3/30/16 23:49,3/30/16 23:56,1,-73.99005127,40.73801041,-73.99093628,40.72521591,Wednesday,10003,Manhattan,10003,Manhattan
132,id3942339,1,1/5/16 17:58,1/5/16 18:13,1,-73.97882843,40.7528038,-73.99103546,40.75041962,Tuesday,10017,Manhattan,10001,Manhattan
133,id2991616,2,3/19/16 19:51,3/19/16 20:04,3,-73.98356628,40.75556183,-73.98236847,40.76696014,Saturday,10036,Manhattan,10019,Manhattan
134,id1047459,2,1/22/16 17:31,1/22/16 17:37,3,-73.98841095,40.75896072,-73.99189758,40.77069092,Friday,10036,Manhattan,10019,Manhattan
135,id1737558,1,5/18/16 19:08,5/18/16 19:12,1,-73.9602356,40.76222992,-73.95059204,40.77531433,Wednesday,10065,Manhattan,10028,Manhattan
136,id2135557,2,5/25/16 13:19,5/25/16 13:27,5,-73.97028351,40.76483154,-73.95757294,40.78247833,Wednesday,10065,Manhattan,10128,Manhattan
137,id0659170,2,3/26/16 13:07,3/26/16 13:29,1,-73.96865845,40.76450729,-73.87283325,40.77145386,Saturday,10065,Manhattan,11369,Queens
138,id1125774,1,1/19/16 22:20,1/19/16 22:28,2,-73.99453735,40.74023438,-73.97618866,40.76259232,Tuesday,10011,Manhattan,10019,Manhattan
139,id1886740,1,5/29/16 0:15,5/29/16 0:24,1,-73.98511505,40.76872635,-73.95166779,40.77443314,Sunday,10019,Manhattan,10028,Manhattan
140,id1982306,2,2/10/16 21:06,2/10/16 21:09,2,-73.98493958,40.75185776,-73.9835434,40.74433517,Wednesday,10018,Manhattan,10016,Manhattan
141,id2684106,2,2/26/16 20:59,2/26/16 21:14,2,-74.00100708,40.73178101,-73.9871521,40.77100372,Friday,10012,Manhattan,10023,Manhattan
142,id0038484,2,3/9/16 13:41,3/9/16 13:53,2,-73.97285461,40.76440048,-73.97180939,40.75788879,Wednesday,10022,Manhattan,10022,Manhattan
143,id1734208,2,4/11/16 10:44,4/11/16 10:56,6,-73.99707794,40.72063828,-73.99963379,40.74583817,Monday,10012,Manhattan,10011,Manhattan
144,id0561467,1,2/9/16 6:58,2/9/16 7:12,1,-73.97254944,40.79401779,-73.95405579,40.7663002,Tuesday,10025,Manhattan,10021,Manhattan
145,id3092788,2,3/3/16 22:01,3/3/16 22:17,2,-73.98477173,40.71057129,-73.9894104,40.73014832,Thursday,10002,Manhattan,10003,Manhattan
146,id1741519,2,3/26/16 14:47,3/26/16 14:53,1,-73.98478699,40.74301529,-73.99360657,40.73528671,Saturday,10016,Manhattan,10003,Manhattan
147,id1330402,2,5/22/16 18:06,5/22/16 18:16,1,-73.99182129,40.75007629,-73.97105408,40.75669861,Sunday,10001,Manhattan,10022,Manhattan
149,id1630509,2,3/16/16 5:42,3/16/16 5:45,2,-73.9936676,40.74187851,-73.98458862,40.75429916,Wednesday,10010,Manhattan,10018,Manhattan
150,id0512853,1,5/28/16 17:40,5/28/16 17:56,1,-73.96956635,40.76916504,-73.98652649,40.73033524,Saturday,10065,Manhattan,10003,Manhattan
151,id3089912,2,6/13/16 13:22,6/13/16 13:31,2,-73.98995972,40.74108124,-73.97696686,40.74745178,Monday,10010,Manhattan,10016,Manhattan
152,id1137965,1,5/16/16 15:02,5/16/16 15:08,1,-73.98913574,40.7750206,-73.98181915,40.76605988,Monday,10023,Manhattan,10019,Manhattan
153,id3677225,2,1/9/16 15:07,1/9/16 15:12,1,-73.96788025,40.7598114,-73.9538269,40.77888107,Saturday,10022,Manhattan,10028,Manhattan
154,id0401226,1,5/26/16 6:37,5/26/16 6:52,4,-74.00670624,40.70555496,-73.99169159,40.74972153,Thursday,10005,Manhattan,10001,Manhattan
155,id2452605,2,5/22/16 22:42,5/22/16 22:46,1,-73.99626923,40.74985123,-73.99476624,40.73648071,Sunday,10001,Manhattan,10011,Manhattan
156,id3618302,2,4/19/16 9:27,4/19/16 9:45,6,-73.98731995,40.75064087,-73.98928833,40.76940536,Tuesday,10018,Manhattan,10019,Manhattan
157,id1552358,2,4/1/16 7:55,4/1/16 8:10,1,-73.97543335,40.75213242,-73.99078369,40.75094223,Friday,10017,Manhattan,10001,Manhattan
158,id1168234,1,2/1/16 18:02,2/1/16 18:13,1,-74.00020599,40.73784637,-74.00031281,40.72286606,Monday,10011,Manhattan,10012,Manhattan
159,id2910320,2,4/20/16 7:33,4/20/16 7:56,1,-73.95545959,40.76730728,-73.98899841,40.69316864,Wednesday,10021,Manhattan,11201,Brooklyn
160,id3331830,1,4/12/16 9:21,4/12/16 9:35,1,-73.96486664,40.75579071,-73.97580719,40.75735474,Tuesday,10022,Manhattan,10017,Manhattan
161,id0195963,2,6/19/16 18:39,6/19/16 18:48,1,-73.99916077,40.74436951,-73.9887085,40.75870132,Sunday,10011,Manhattan,10036,Manhattan
162,id0762989,2,3/17/16 8:24,3/17/16 8:26,1,-73.97761536,40.76357269,-73.97257233,40.76595688,Thursday,10019,Manhattan,10023,Manhattan
163,id2671060,2,4/7/16 8:44,4/7/16 8:51,1,-73.95311737,40.77180099,-73.94792175,40.78314972,Thursday,10075,Manhattan,10128,Manhattan
164,id3620795,1,1/1/16 10:45,1/1/16 10:51,1,-74.0016098,40.74081039,-73.99622345,40.72590256,Friday,10011,Manhattan,10012,Manhattan
165,id2282206,1,1/4/16 16:32,1/4/16 16:51,2,-73.96218109,40.81072617,-73.9948349,40.75281143,Monday,10027,Manhattan,10001,Manhattan
166,id0591292,1,6/9/16 18:43,6/9/16 19:07,1,-73.98696899,40.74285126,-73.99428558,40.76135635,Thursday,10010,Manhattan,10036,Manhattan
167,id0906779,1,4/19/16 8:31,4/19/16 9:14,2,-73.97155762,40.75062943,-73.95262909,40.63159561,Tuesday,10017,Manhattan,11210,Brooklyn
168,id2326430,2,6/10/16 22:06,6/10/16 22:23,1,-73.95687866,40.77487183,-73.93650818,40.85718536,Friday,10075,Manhattan,10040,Manhattan
169,id3863815,2,3/14/16 4:24,3/14/16 4:37,3,-73.94435883,40.71448898,-73.91053009,40.70949173,Monday,11211,Brooklyn,11385,Queens
171,id3649509,1,4/2/16 14:46,4/2/16 15:06,2,-74.00554657,40.70926285,-73.97014618,40.76274109,Saturday,10038,Manhattan,10022,Manhattan
172,id1783063,2,4/6/16 12:24,4/6/16 12:40,2,-73.98464966,40.74597931,-73.97737885,40.75965118,Wednesday,10016,Manhattan,10019,Manhattan
173,id3363012,2,4/12/16 20:22,4/12/16 20:24,1,-73.96196747,40.77008057,-73.96077728,40.77505112,Tuesday,10021,Manhattan,10075,Manhattan
174,id0514638,1,2/10/16 8:36,2/10/16 8:42,1,-73.96942139,40.80003357,-73.9681778,40.79170227,Wednesday,10025,Manhattan,10025,Manhattan
175,id0627115,2,2/26/16 16:10,2/26/16 16:23,1,-73.98262787,40.76211166,-73.99337006,40.74748993,Friday,10019,Manhattan,10001,Manhattan
176,id3141299,2,1/14/16 12:25,1/14/16 12:37,3,-73.99577332,40.74256897,-74.00809479,40.72277069,Thursday,10011,Manhattan,10013,Manhattan
177,id2003497,1,4/15/16 11:58,4/15/16 12:09,2,-74.00007629,40.74829865,-73.98988342,40.73796463,Friday,10001,Manhattan,10003,Manhattan
178,id3748197,1,2/7/16 23:17,2/7/16 23:25,1,-73.9991684,40.73423386,-73.98209381,40.74027634,Sunday,10014,Manhattan,10010,Manhattan
179,id2983261,1,4/15/16 14:41,4/15/16 14:47,1,-74.01425171,40.71391296,-74.00462341,40.7053833,Friday,10007,Manhattan,10038,Manhattan
181,id0835694,1,1/15/16 19:25,1/15/16 19:31,1,-73.97510529,40.75569153,-73.9855957,40.74747467,Friday,10017,Manhattan,10001,Manhattan
182,id3426410,2,2/18/16 9:27,2/18/16 9:45,5,-73.96743774,40.75934982,-74.01268768,40.70161057,Thursday,10022,Manhattan,10004,Manhattan
183,id3673678,2,1/31/16 13:52,1/31/16 14:03,1,-73.97599792,40.75113678,-74.00185394,40.73522949,Sunday,10017,Manhattan,10014,Manhattan
184,id2460349,1,1/7/16 15:40,1/7/16 15:49,2,-73.9789505,40.75093079,-73.96439362,40.75496292,Thursday,10016,Manhattan,10022,Manhattan
185,id3198639,1,6/5/16 3:02,6/5/16 3:14,1,-73.97978973,40.78126526,-73.94087982,40.82322311,Sunday,10023,Manhattan,10039,Manhattan
186,id1872601,2,5/31/16 19:16,5/31/16 19:27,2,-73.98686218,40.7509613,-74.00537872,40.74002838,Tuesday,10018,Manhattan,10014,Manhattan
187,id0125957,1,6/14/16 21:16,6/14/16 21:21,2,-73.96701813,40.75300598,-73.95162964,40.76935959,Tuesday,10017,Manhattan,10021,Manhattan
